sample,b_cell,cd8_t_cell,cd4_t_cell,nk_cell,monocyte,total_cell_count,b_cell_percentage,cd8_t_cell_percentage,cd4_t_cell_percentage,nk_cell_percentage,monocyte_cell_percentage
s1,36000,24000,42000,6000,12000,120000,0.3,0.2,0.35,0.05,0.1
s2,30000,22000,40000,2000,6000,100000,0.3,0.22,0.4,0.02,0.06
s3,35000,26250,37500,10000,16250,125000,0.28,0.21,0.3,0.08,0.13
s4,27900,17100,18000,4500,22500,90000,0.31,0.19,0.2,0.05,0.25
s5,60000,30000,37500,4500,18000,150000,0.4,0.2,0.25,0.03,0.12
s6,27500,24200,33000,5500,19800,110000,0.25,0.22,0.3,0.05,0.18
s7,31350,19000,23750,8550,12350,95000,0.33,0.2,0.25,0.09,0.13
s8,35000,23000,25000,6000,11000,100000,0.35,0.23,0.25,0.06,0.11
s9,45500,27300,32500,6500,18200,130000,0.35,0.21,0.25,0.05,0.14
s10,28420,21560,21560,8820,17640,98000,0.29,0.22,0.22,0.09,0.18
s11,26250,19950,29400,8400,21000,105000,0.25,0.19,0.28,0.08,0.2
s12,39600,22800,45600,6000,6000,120000,0.33,0.19,0.38,0.05,0.05
s13,31050,24150,47150,8050,4600,115000,0.27,0.21,0.41,0.07,0.04
s14,31000,20000,25000,3000,21000,100000,0.31,0.2,0.25,0.03,0.21
s15,28800,15200,20800,3200,12000,80000,0.36,0.19,0.26,0.04,0.15
s16,14000,20000,24000,4000,38000,100000,0.14,0.2,0.24,0.04,0.38
s17,32400,24000,40800,10800,12000,120000,0.27,0.2,0.34,0.09,0.1
